ptak,podtrida,rad,krmivy,tazny,kde zije,obrazek,pozn
Sýkora koňadra,letci,pěvci,Krmivý,Částečně tažní,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Parus_major_2_Luc_Viatour.jpg/1200px-Parus_major_2_Luc_Viatour.jpg,
Sýkora modřinka,letci,pěvci,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/Eurasian_blue_tit_Lancashire.jpg/270px-Eurasian_blue_tit_Lancashire.jpg,
Špaček obecný,letci,pěvci,Krmivý,Tažní,,https://upload.wikimedia.org/wikipedia/commons/5/5a/Sturnus_vulgaris_2_%28Marek_Szczepanek%29.jpg,
Vlaštovka obecná,letci,pěvci,Krmivý,Tažní,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Barn_Swallow_by_Stefan_Berndtsson.jpg,
Vrabec domácí,letci,pěvci,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/House_sparrowIII.jpg/270px-House_sparrowIII.jpg,
Plameňák,letci,plaměňáci,,,,https://upload.wikimedia.org/wikipedia/commons/6/68/Caribbean_Flamingo.jpg,
Poštolka obecná,letci,sokoli,Krmivý,Částečně tažní,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Common_kestrel_falco_tinnunculus.jpg/270px-Common_kestrel_falco_tinnunculus.jpg,
Sokol stěhovavý,letci,sokoli,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Falco_peregrinus_-_01.jpg/1200px-Falco_peregrinus_-_01.jpg,
Puštík obecný,letci,sovy,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/5/55/Strix_aluco_3_%28Martin_Mecnarowski%29.jpg,
Sova pálená,letci,sovy,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/1/17/Barn_Owl%2C_Lancashire.jpg,
Výr velký,letci,sovy,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Bubo_bubo_1_%28Martin_Mecnarowski%29.jpg/248px-Bubo_bubo_1_%28Martin_Mecnarowski%29.jpg,
Kolibřík,letci,svišťouni,,,Amerika,https://upload.wikimedia.org/wikipedia/commons/1/16/Archilochus-alexandri-002-edit.jpg,
Rorýs obecný,letci,svišťouni,Krmivý,Tažní,,https://g.denik.cz/122/ee/rorys-dlaen-jpg_denik-630.jpg,
Tučňák císařský,letci,tučňáci,,,Antarktida,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Aptenodytes_forsteri_-Snow_Hill_Island%2C_Antarctica_-adults_and_juvenile-8.jpg/270px-Aptenodytes_forsteri_-Snow_Hill_Island%2C_Antarctica_-adults_and_juvenile-8.jpg,
Husa velká,letci,vrubozubí,Nekrmivý,Tažní,,https://upload.wikimedia.org/wikipedia/commons/c/c5/Greylag-Goose.jpg,
Kachna divoká,letci,vrubozubí,Nekrmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/b/bf/Anas_platyrhynchos_male_female_quadrat.jpg,
Kajka mořská,letci,vrubozubí,,,Arktida,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Somateria_mollissima_male..jpg/260px-Somateria_mollissima_male..jpg,
Labuť velká,letci,vrubozubí,Nekrmivý,Částečně tažní,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/CygneVaires.jpg/1200px-CygneVaires.jpg,
Polák chocholačka,letci,vrubozubí,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Tufted-Duck-male-female.jpg/800px-Tufted-Duck-male-female.jpg,
Albatros stěhovavý,,,,,Jižní Polokoule,https://upload.wikimedia.org/wikipedia/commons/1/10/070226_wandering_albatross_off_Kaikoura_3.jpg,
Čáp bílý,,,,Tažní,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Wei%C3%9Fstorch_Walsrode_2014_02.jpg/270px-Wei%C3%9Fstorch_Walsrode_2014_02.jpg,
Čáp černý,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Ciconia_nigra_1_%28Marek_Szczepanek%29.jpg/270px-Ciconia_nigra_1_%28Marek_Szczepanek%29.jpg,
Datel černý,,,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Schwarzspecht.jpg/245px-Schwarzspecht.jpg,
Dudek chocholatý,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/b6/Upupa_epops_India.jpg,
Ibis posvátný,,,,,Afrika,https://upload.wikimedia.org/wikipedia/commons/d/d0/Heiliger_Ibis_0508061.jpg,
Kormorán velký,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Phalacrocorax_carbo_Vic.jpg/1200px-Phalacrocorax_carbo_Vic.jpg,
Kukačka obecná,,,Krmivý*,Tažní,,https://upload.wikimedia.org/wikipedia/commons/4/4d/Common_Cuckoo_by_Mike_McKenzie.jpg,
Kvakoš noční,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/96/Nycticorax_nycticorax12.jpg,
Ledňáček říční,,,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/c/cc/Common_Kingfisher_Alcedo_atthis.jpg,
Lyska černá,,,,,,https://upload.wikimedia.org/wikipedia/commons/c/cb/Bl%C3%A4sshuhn_Fulica_atra_2_Richard_Bartz.jpg,
Marabu africký,,,,,Afrika,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Marabou_Stork_%28Leptoptilos_crumeniferus%29_%280321%29_-_Relic38.jpg/270px-Marabou_Stork_%28Leptoptilos_crumeniferus%29_%280321%29_-_Relic38.jpg,
Papuchalk severní,,,,,Arktida,https://upload.wikimedia.org/wikipedia/commons/b/b7/Atlantic_Puffin.jpg,
Pelikán bílý,,,,,Starý svět,https://upload.wikimedia.org/wikipedia/commons/6/66/Whitepelican_edit_shadowlift.jpg,
Racek chechtavý,,,,,,https://upload.wikimedia.org/wikipedia/commons/1/15/Black-headed_Gull_-_Larus_ridibundus_-_Hettum%C3%A1fur.jpg,
Strakapoud velký,,,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/7/79/DendrocoposMajor.jpg,
Volavka popelavá,,,Krmivý,Částečně tažní,,https://upload.wikimedia.org/wikipedia/commons/8/8b/Ardea_cinerea_5_%28Marek_Szczepanek%29.jpg,
Žluna zelená,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Gr%C3%BCnspecht_Picus_viridis.jpg/245px-Gr%C3%BCnspecht_Picus_viridis.jpg,
